,m,m_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,Td_dew,Td_dew_unit,v,v_unit,vol,vol_unit,x,x_unit,s,s_unit,phase,Ar,O2,CH4,CO2,DowthermA,N2,Solar Salt,water,H2O
c4,411.5,kg / s,15.0,bar,2254.5091313302455,kJ / kg,1497.50244107976,C,0.0,K,0.0,K,142.83588685438318,m^3 / s,0.3471102961224378,m^3 / kg,0.0,-,7996.441853287783,J / kgK,,0.012539489671931957,0.1134494340640003,0.0,0.07705383663703337,,0.7341919805589308,,,0.06276514758014337
c40,33.90279888079745,kg / s,16.5,bar,3190.879895856914,kJ / kg,370.99813554914056,C,168.1421018767905,K,-168.1421018767905,K,5.9499649111992445,m^3 / s,0.1755006992820674,m^3 / kg,1.0,-,7128.357266993068,J / kgK,g,,,,,,,,1.0,
c41,67.8055977615949,kg / s,16.5,bar,3190.879895856914,kJ / kg,370.99813554914056,C,168.1421018767905,K,-168.1421018767905,K,11.899929822398489,m^3 / s,0.1755006992820674,m^3 / kg,1.0,-,7128.357266993068,J / kgK,g,,,,,,,,1.0,
c42,67.8055977615949,kg / s,17.0,bar,2682.079244113178,kJ / kg,204.3069518903447,C,0.0,K,0.0,K,7.453424885348549,m^3 / s,0.1099234448393901,m^3 / kg,0.9415513285781285,-,6162.7686240876055,J / kgK,tp,,,,,,,,1.0,
c43,84.78450943547705,kg / s,101.0,bar,1063.6436153272832,kJ / kg,245.35404528878325,C,-66.37531711048689,K,66.37531711048689,K,0.10433207485114694,m^3 / s,0.0012305558591519132,m^3 / kg,0.0,-,2736.4573200328027,J / kgK,l,,,,,,,,1.0,
c44,84.78450943547705,kg / s,100.0,bar,3005.8871048124224,kJ / kg,371.99813554914,C,61.000988582624814,K,-61.000988582624814,K,2.0618954458517704,m^3 / s,0.02431924722547248,m^3 / kg,1.0,-,6075.096668462184,J / kgK,g,,,,,,,,1.0,
c45,74.51164589186253,kg / s,40.0,bar,2827.9756887524236,kJ / kg,257.4577415515166,C,7.103696262733251,K,-7.103696262733251,K,3.8199981154348475,m^3 / s,0.051267128375861476,m^3 / kg,1.0,-,6121.100009472683,J / kgK,g,,,,,,,,1.0,
c46,10.272863543614529,kg / s,40.0,bar,2827.9756887524236,kJ / kg,257.4577415515166,C,7.103696262733251,K,-7.103696262733251,K,0.5266602140781933,m^3 / s,0.051267128375861476,m^3 / kg,1.0,-,6121.100009472683,J / kgK,g,,,,,,,,1.0,
c47,74.51164589186253,kg / s,17.0,bar,2682.079244113178,kJ / kg,204.3069518903447,C,0.0,K,0.0,K,8.190576797086319,m^3 / s,0.1099234448393901,m^3 / kg,0.9415513285781285,-,6162.7686240876055,J / kgK,tp,,,,,,,,1.0,
c48,6.706048130267627,kg / s,17.0,bar,2682.079244113178,kJ / kg,204.3069518903447,C,0.0,K,0.0,K,0.7371519117377686,m^3 / s,0.1099234448393901,m^3 / kg,0.9415513285781285,-,6162.7686240876055,J / kgK,tp,,,,,,,,1.0,
c49,84.78450943547705,kg / s,101.05,bar,852.7589183732954,kJ / kg,199.30695189034475,C,-112.45887377858412,K,112.45887377858412,K,0.09725162779926187,m^3 / s,0.0011470447661582873,m^3 / kg,0.0,-,2310.73760583741,J / kgK,l,,,,,,,,1.0,
c5,411.5,kg / s,0.9,bar,1299.8155692240166,kJ / kg,762.7807743892298,C,0.0,K,0.0,K,1390.508761258754,m^3 / s,3.379122141576559,m^3 / kg,0.0,-,8129.029724592685,J / kgK,,0.012539489671931957,0.1134494340640003,0.0,0.07705383663703337,,0.7341919805589308,,,0.06276514758014337
c50,10.272863543614529,kg / s,40.0,bar,1087.4915965825319,kJ / kg,250.35404528878337,C,0.0,K,0.0,K,0.012867332399641414,m^3 / s,0.0012525555649612002,m^3 / kg,0.0,-,2796.7620237164715,J / kgK,tp,,,,,,,,1.0,
c51,10.272863543614529,kg / s,17.0,bar,1087.4915965825319,kJ / kg,204.3069518903447,C,0.0,K,0.0,K,0.14510525163339205,m^3 / s,0.01412510260818051,m^3 / kg,0.11221164940007448,-,2823.016964346627,J / kgK,tp,,,,,,,,1.0,
c52,16.978911673882155,kg / s,17.0,bar,871.740060107472,kJ / kg,204.3069518903447,C,0.0,K,0.0,K,0.019752534780220488,m^3 / s,0.0011633569429897479,m^3 / kg,0.0,-,2371.1405478008883,J / kgK,tp,,,,,,,,1.0,
c53,16.978911673882155,kg / s,6.0,bar,871.740060107472,kJ / kg,158.8264772652176,C,0.0,K,0.0,K,0.5341762403475312,m^3 / s,0.031461159031130885,m^3 / kg,0.09654144177580809,-,2396.968290487951,J / kgK,tp,,,,,,,,1.0,
c54,84.78450943547706,kg / s,6.0,bar,670.3772398411787,kJ / kg,158.8264772652176,C,0.0,K,0.0,K,0.0933139882171535,m^3 / s,0.0011006018533157589,m^3 / kg,0.0,-,1930.8252691338873,J / kgK,tp,,,,,,,,1.0,
c55,84.78450943547705,kg / s,101.1,bar,683.4283662573943,kJ / kg,160.54682539413318,C,-151.25544958412468,K,151.25544958412468,K,0.09291604857772923,m^3 / s,0.0010959083115110841,m^3 / kg,0.0,-,1936.848029711117,J / kgK,l,,,,,,,,1.0,
c56,2.9277193779738635,kg / s,6.0,bar,2960.608773900205,kJ / kg,251.4546402120617,C,92.6281629468441,K,-92.6281629468441,K,1.1567214273819917,m^3 / s,0.3950929983537234,m^3 / kg,1.0,-,7189.079787726437,J / kgK,g,,,,,,,,1.0,
