,m,m_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,Td_dew,Td_dew_unit,v,v_unit,vol,vol_unit,x,x_unit,s,s_unit,phase,Water
c3,0.008,kg / s,191.0,bar,3347.0471093899196,kJ / kg,529.9999999986525,C,168.09017036878925,K,-168.09017036878925,K,0.00013414058398467785,m^3 / s,0.01676757299808473,m^3 / kg,-1.0,-,6297.003144826602,J / kgK,state not recognised,1
c30,77.3491244674419,kg / s,0.251,bar,173.51470622646144,kJ / kg,41.42737674837565,C,-23.62471394904935,K,23.62471394904935,K,0.07800204408500273,m^3 / s,0.001008441202431912,m^3 / kg,0.0,-,591.4030466651218,J / kgK,l,1
c31,77.3491244674419,kg / s,0.251,bar,272.33418492664225,kJ / kg,65.052090697425,C,0.0,K,0.0,K,0.07888831152443954,m^3 / s,0.0010198992175747964,m^3 / kg,0.0,-,894.297210501076,J / kgK,tp,1
c32,469.24105943351805,kg / s,3.9,bar,169.23735647355213,kJ / kg,40.32671989322199,C,-102.37129125692388,K,102.37129125692388,K,0.4729215145861828,m^3 / s,0.001007843420942549,m^3 / kg,0.0,-,576.6106117061768,J / kgK,l,1
c33,469.24105943351805,kg / s,3.85,bar,251.7048778262343,kJ / kg,60.0520906978403,C,-82.18368248509881,K,82.18368248509881,K,0.4772138279087579,m^3 / s,0.0010169907733241946,m^3 / kg,0.0,-,831.7530581320086,J / kgK,l,1
c34,60.03088898691372,kg / s,0.251,bar,272.4186232652657,kJ / kg,65.052090697425,C,0.0,K,0.0,K,0.07458040174717016,m^3 / s,0.0012423671047654837,m^3 / kg,3.6003822285160014e-05,-,894.546878793928,J / kgK,tp,1
c35,60.03088898691372,kg / s,1.27,bar,272.4186232652657,kJ / kg,65.05209069786895,C,-41.37528605050716,K,41.37528605050716,K,0.06122266185239664,m^3 / s,0.0010198526606151495,m^3 / kg,0.0,-,894.2395910481979,J / kgK,l,1
c36,60.03088898691372,kg / s,1.27,bar,446.30564034574763,kJ / kg,106.4273767483761,C,0.0,K,0.0,K,0.06294899644188899,m^3 / s,0.0010486100989710713,m^3 / kg,0.0,-,1379.2513176083478,J / kgK,tp,1
c37,469.24105943351805,kg / s,3.8,bar,273.9505701175819,kJ / kg,65.36791702882607,C,-76.40075926008865,K,76.40075926008865,K,0.47858644235900766,m^3 / s,0.0010199159530855455,m^3 / kg,0.0,-,898.0045639714396,J / kgK,l,1
c38,31.030812308199916,kg / s,1.27,bar,2736.147989821549,kJ / kg,130.93145276038865,C,24.504076012012547,K,-24.504076012012547,K,44.96638685819464,m^3 / s,1.4490882936478022,m^3 / kg,1.0,-,7407.763147619362,J / kgK,g,1
